N-gramm,Count
stage dir,5161
i am,928
i will,802
i have,780
in the,766
dir enter,727
of the,602
to the,597
it is,540
my lord,511
dir exit,457
that i,456
to be,447
i do,414
dir exeunt,410
and i,408
you are,380
is a,362
and the,345
i would,343
is the,337
can not,333
you have,329
of my,326
he is,314
if you,314
i know,301
exit stage,294
is not,288
don pedro,287
with a,281
for the,276
i can,274
a man,262
by the,260
of a,258
will not,250
as i,245
this is,244
in my,236
i pray,236
of his,234
of your,234
to me,233
pray you,232
shall be,229
me to,228
that you,228
if i,228
exeunt stage,228
lord one,227
dir scene,226
with the,225
no more,225
let me,225
thou art,225
like a,224
but i,223
all the,222
do not,220
there is,217
such a,214
in a,213
you shall,211
i think,209
out of,208
antipholus syr,206
of this,203
to my,201
the king,199
dromio syr,198
and so,193
of her,193
dir aside,192
i shall,191
do you,191
she is,191
the world,189
for a,188
in his,187
he hath,182
to you,179
for my,176
scene one,174
you to,174
at the,173
sir i,173
i had,171
from the,171
to your,170
of it,169
i say,168
aside stage,165
dir to,164
on the,163
and to,163
and a,163
not be,162
what is,162
in this,161
i was,161
when i,161
will be,160
they are,160
to her,159
i must,159
me i,158
that he,157
to make,157
with me,155
scene two,154
antipholus eph,152
the duke,151
with you,151
to a,150
in your,148
you will,148
have a,147
me and,146
and that,146
how now,146
and in,144
for i,144
is no,143
more than,143
that the,142
of all,142
not so,142
by my,142
that is,141
to him,141
my father,141
as you,140
will you,139
lord two,137
thou hast,137
i the,136
you sir,136
not a,136
with him,136
if he,136
give me,136
tell me,135
for you,135
come to,134
and my,134
you and,133
to see,133
we have,133
it be,132
not to,129
my heart,129
with her,128
as a,127
be a,127
to have,127
dromio eph,126
a good,125
you do,125
have you,124
as the,123
you must,123
and you,122
i be,122
and all,121
shall i,121
i thank,120
i did,120
you know,120
would not,120
you not,119
should be,119
are you,118
be so,117
and yet,117
him and,117
i should,116
which i,116
would have,116
o the,115
we are,115
what i,115
scene three,112
i see,112
not the,111
it was,111
which is,111
is my,111
if it,110
and his,110
shall not,110
for your,110
and he,109
upon the,108
him to,108
let him,107
my master,107
but that,107
must be,107
so much,106
is to,105
to do,105
go to,105
my life,105
i love,105
in love,104
may be,104
of him,104
we will,104
and then,104
if thou,104
he will,103
room in,102
is it,102
let us,102
you may,102
my love,101
of our,100
don john,100
but a,99
have been,98
and let,98
to his,97
i may,96
tell you,96
is he,96
in her,96
thou shalt,96
for this,96
i could,96
so i,95
to this,95
be not,95
will i,95
with my,95
that she,94
one scene,93
of thy,93
is your,92
a room,91
have i,91
me in,90
i not,90
he shall,90
it not,90
a woman,90
is this,89
page ford,89
know not,88
he that,88
is in,88
well i,88
of me,88
and by,87
gentleman one,87
he was,87
not for,87
by this,87
of you,87
the same,86
ford page,86
mine own,86
a fool,86
am i,86
for me,85
for it,85
the gods,85
one that,84
here comes,84
it and,84
of mine,84
the other,84
and what,84
not i,83
i hope,83
one of,83
for his,83
and not,82
am not,82
that which,82
but the,82
of them,82
my daughter,82
my brother,82
be the,82
full of,81
but to,81
have no,81
me the,81
when he,81
i tell,80
a word,80
you for,80
my good,80
you the,79
with his,79
dost thou,79
when you,79
me for,79
that thou,78
a little,78
as he,78
was a,78
to say,78
you were,77
of that,77
now i,77
rosalind celia,77
you be,77
shall have,77
him i,77
here is,77
the prince,76
than the,76
you that,76
you a,76
soldier one,76
you in,76
beseech you,76
of love,75
for that,75
pandarus cressida,75
and there,75
syr dromio,75
the matter,75
am a,74
yet i,74
and with,74
he would,74
gentleman two,74
i never,74
into the,73
your grace,73
with your,73
the time,73
two scene,73
would i,73
have done,72
the very,72
do it,72
it to,72
scene four,72
love and,71
orlando rosalind,71
him that,71
you i,71
lord i,71
and your,71
or else,71
is that,70
you would,70
please you,70
his own,70
cressida pandarus,70
syr antipholus,70
rosalind orlando,70
to thee,70
have the,70
the man,70
where is,70
a very,69
her and,69
would you,69
by your,69
house stage,69
would be,69
but in,69
if the,69
i give,69
art thou,69
to speak,68
i warrant,68
me not,68
to know,68
and as,68
if she,68
a thousand,67
the rest,67
what a,67
thank you,67
celia rosalind,67
are not,67
is but,67
and therefore,67
and now,66
do i,66
you should,66
and will,66
that it,66
for thy,66
he had,66
what you,66
my wife,66
as it,66
in thy,66
my lady,65
in that,65
dir duke,65
me a,65
dir i,65
think you,65
like to,65
that my,65
they have,65
me that,65
why then,64
it in,64
you can,64
not in,64
is so,64
duke s,64
what the,64
it were,64
in their,64
go with,64
say you,64
your father,64
for her,64
part of,63
she hath,63
let it,63
me with,63
that we,63
and make,62
had been,62
see the,62
a gentleman,62
and for,62
your worship,62
i speak,62
to come,62
and when,62
and this,61
your own,61
could not,61
upon my,61
i beseech,61
make a,61
the first,61
all my,61
he be,61
the sun,60
and be,60
the devil,60
i were,60
all that,60
it shall,60
but what,60
beatrice benedick,60
i go,60
with all,59
armado moth,59
your honour,59
wilt thou,59
from my,59
on my,59
be gone,59
know you,59
a most,59
but he,59
you say,59
shall we,58
nothing but,58
man and,58
to give,58
sir you,58
like the,58
within stage,58
you well,58
then i,57
than i,57
moth armado,57
you my,57
as thou,57
is as,57
they say,57
but for,57
claudio don,57
her to,57
as much,57
have not,57
my house,57
say i,57
hast thou,57
and she,57
i take,57
was not,56
the court,56
benedick beatrice,56
petruchio katharina,56
the way,56
i prithee,56
him he,56
on his,56
than a,55
pray thee,55
pedro claudio,55
that will,55
i saw,55
him in,55
sebastian antonio,55
to take,55
him for,55
too much,54
katharina petruchio,54
and here,54
from me,54
whom i,54
not you,54
as well,54
in all,54
o my,54
was the,54
the most,53
but if,53
an old,53
that hath,53
the best,53
not what,53
of these,53
a great,53
o that,53
it i,53
make me,53
she will,53
how i,53
the lady,53
it for,53
it will,53
be my,53
to hear,53
at my,53
to our,53
all this,53
i come,52
with thee,52
thou wilt,52
you come,52
three scene,52
the sea,52
me as,52
for him,52
in our,52
of such,52
where i,52
and thou,52
not have,52
we shall,52
a thing,51
thou dost,51
have heard,51
at your,51
give him,51
before the,51
you hear,51
thee to,51
for he,51
in such,51
i to,51
and her,50
not my,50
in me,50
that they,50
you go,50
thou not,50
on a,50
is too,50
not that,50
hath been,50
we do,50
palace stage,50
this i,50
for thee,50
you so,50
come come,50
that a,50
you of,50
though i,49
look you,49
kind of,49
to thy,49
the house,49
with such,49
should have,49
good sir,49
love i,49
your brother,49
speed launce,49
who is,49
here a,49
the which,49
know the,48
page stage,48
duke stage,48
but you,48
as they,48
of what,48
scene five,48
and we,48
of their,48
good morrow,48
at home,48
sir and,48
have it,48
as if,48
i fear,48
it with,48
ford falstaff,48
or i,47
you see,47
good my,47
aguecheek belch,47
hear me,47
launce speed,47
attendants stage,47
as she,47
duke lucio,47
antonio sebastian,47
julia lucetta,47
lucetta julia,47
those that,47
pardon me,47
take it,46
love to,46
sir toby,46
on your,46
ay and,46
the more,46
he has,46
the day,46
what thou,46
is an,46
and how,46
none of,46
belch aguecheek,46
hath a,46
you with,46
and do,46
no no,46
much as,45
him a,45
thou canst,45
nay i,45
make the,45
a letter,45
on him,45
with this,45
i might,45
the queen,45
come hither,45
should i,45
from her,45
will have,45
what he,45
is his,45
he comes,45
the great,44
not but,44
did you,44
the moon,44
did not,44
come on,44
is there,44
that in,44
good lord,44
had rather,44
is she,44
the old,44
she was,44
your daughter,44
thee and,44
and is,44
i make,44
here in,44
that ever,44
look on,44
am sure,44
by a,44
by his,44
i mean,43
speak with,43
if not,43
me my,43
come in,43
to keep,43
mine eyes,43
i hear,43
valentine proteus,43
falstaff ford,43
we must,43
there be,43
hath not,43
my soul,43
no man,43
be in,43
the better,43
for all,43
that have,43
she shall,42
when the,42
and it,42
if this,42
me your,42
this be,42
my troth,42
angelo isabella,42
he did,42
to go,42
fare you,42
must not,42
when she,42
let her,42
viola olivia,42
you love,42
be your,42
speed valentine,42
you if,42
any man,42
give you,42
will do,42
he not,42
since i,42
no i,42
as we,42
my husband,42
your lordship,42
an ass,42
proteus valentine,42
were a,42
my son,42
sir john,42
and thy,42
you speak,41
a maid,41
tell thee,41
one lord,41
into a,41
tell him,41
them to,41
the forest,41
will make,41
