N-gramm,Count
stage dir,5161
", and",4364
. stage,3278
", i",2178
% i,1440
; and,1374
", sir",1114
", that",1072
i am,928
"you ,",895
i 'll,854
", to",844
", my",817
"sir ,",811
i will,802
in the,763
i have,750
dir enter,727
", the",714
", as",676
. i,651
"me ,",642
", but",641
", for",618
; but,614
of the,602
: i,594
to the,593
", you",548
", if",538
", or",528
it is,527
my lord,507
; for,497
% what,481
dir exit,457
", a",454
; i,453
to be,447
% o,438
't is,432
"why ,",422
that i,422
", in",412
dir exeunt,410
"'d ,",408
syr .,404
i do,400
", with",399
", he",385
it .,383
", which",382
"come ,",382
and i,380
you .,379
"now ,",377
you are,376
", —",373
% why,366
% and,362
is a,361
o !,346
i would,342
% you,340
"well ,",335
can not,333
and the,332
is the,328
"him ,",328
"lord ,",328
of my,324
"and ,",324
me .,324
you have,320
", thou",315
if you,313
% stage,312
he is,312
"ay ,",309
% no,304
i know,300
% ay,295
exit .,293
him .,292
"it ,",289
don pedro,287
is not,285
. but,284
"no ,",283
"thee ,",283
. duke,280
with a,280
eph .,278
", by",277
"nay ,",277
i can,274
for the,274
% the,268
", let",263
by the,260
of a,258
a man,258
", when",250
% a,250
", good",250
will not,248
"not ,",247
", what",244
"so ,",242
. dromio,242
! i,242
this is,238
as i,238
' the,236
of your,234
i pray,234
of his,234
to me,233
", it",231
", so",231
pray you,231
exeunt .,230
in my,229
lord one,226
dir scene,226
if i,226
let me,225
shall be,225
no more,225
thou art,224
with the,224
like a,223
"but ,",221
that you,220
all the,218
do not,218
% he,217
", she",217
me to,216
% how,216
"then ,",215
", nor",214
such a,214
there is,213
: if,213
in a,211
% my,211
; the,210
you shall,210
i think,209
out of,208
: and,208
that 's,208
thirty %,208
mrs. page,207
. antipholus,207
antipholus syr,206
"her ,",205
but i,205
% well,204
of this,202
: the,201
to my,200
% nay,199
the king,198
dromio syr,198
", we",197
"love ,",196
of her,193
dir aside,192
she is,191
% sir,190
"say ,",190
. what,190
and so,190
the world,189
i shall,189
do you,188
. lord,188
", who",187
% that,187
% if,187
in his,186
seventwo %,186
ninety %,184
", then",184
", not",184
for a,184
he hath,182
"is ,",180
"i ,",180
there 's,180
: but,179
", like",178
to you,177
% come,177
sixthree %,177
: he,177
. clown,177
. the,176
mrs. ford,176
what 's,175
scene one,174
", how",174
for my,173
seventy-five %,172
sixtwo %,172
at the,172
seventy-seven %,172
% it,172
"here ,",170
to your,170
"man ,",170
i had,169
aside .,169
of it,169
", no",168
twosix %,168
i ',166
", is",166
sixone %,166
", your",165
sir .,164
dir to,164
", this",164
seventhree %,163
eightfive %,163
eighty-two %,163
eightfour %,162
% but,162
", though",162
'd .,162
onetwo %,162
her .,162
eightthree %,161
i say,161
and a,160
not be,160
o ',160
fifty-eight %,160
. a,160
in this,160
sixeight %,160
they are,159
i must,159
to her,159
i was,159
seven %,159
. if,159
on the,158
twofour %,158
will be,158
% this,158
"that ,",158
me ;,158
thirty-nine %,157
threeone %,157
to make,157
nineseven %,157
eightnine %,157
eight %,157
fifty-three %,156
when i,156
ten %,156
you to,156
seventy-four %,156
sixzero %,155
with me,155
scene two,154
ninety-eight %,154
from the,154
sixty-five %,153
ninethree %,153
", come",153
dir re-enter,153
's a,153
antipholus eph,152
four %,152
that he,152
threefour %,152
. o,151
ninety-two %,151
the duke,151
threesix %,151
", there",151
with you,151
fivenine %,150
fourone %,150
in your,148
onenine %,148
to a,148
twenty-nine %,147
thee .,147
six %,146
how now,146
and to,145
eighty-one %,145
twenty-eight %,145
! what,145
ninefive %,144
five %,144
twenty-five %,144
nine %,144
what is,144
is no,143
onefour %,143
fifty-four %,143
he 's,143
of all,142
we 'll,142
% thou,142
. ',142
you ?,142
have a,141
forty-nine %,141
you will,141
and that,141
ninesix %,141
twozero %,141
oneeight %,141
oneone %,141
my father,141
", be",141
to him,140
by my,140
", do",140
that is,140
fivezero %,140
", master",140
sixty-nine %,140
twothree %,139
lord .,139
sir ;,139
not so,139
", of",139
"marry ,",139
; he,138
"madam ,",138
forty-eight %,138
as you,138
sixty-four %,138
will you,138
sevensix %,137
lord two,137
thou hast,137
% good,137
. come,137
with him,136
sixty-seven %,136
twenty-one %,136
thirty-eight %,136
if he,136
give me,136
more than,135
fifty-six %,135
tell me,135
seventy-nine %,135
fifteen %,134
sevenzero %,134
for i,134
fourtwo %,133
to see,133
% by,133
. rosalind,133
. antonio,132
. king,132
ninety-four %,132
fifty-one %,131
fifty-two %,131
"o ,",130
", where",130
for you,130
my heart,129
not a,129
eighteight %,129
it be,129
threethree %,129
threefive %,128
two %,128
fourfour %,128
with her,128
; if,128
be a,127
sixty-six %,127
to have,127
and my,127
come to,127
three %,126
; you,126
eightzero %,126
dromio eph,126
me :,126
nineone %,126
forty-five %,126
", madam",126
", his",126
a good,125
fourzero %,125
sevenone %,125
threetwo %,124
", '",124
'd to,124
threeseven %,124
. you,124
? i,123
eighty-seven %,123
twenty-seven %,123
% so,123
", being",123
not .,123
you must,123
's the,123
forty-seven %,123
onethree %,122
me ?,122
as a,122
"what ,",122
: you,122
% now,122
"this ,",121
. mrs.,121
seventeen %,121
as the,121
have you,121
not to,121
"faith ,",121
would not,120
onesix %,120
% we,120
we have,120
i did,120
i thank,119
fifty-seven %,119
"go ,",119
and you,119
. claudio,119
. petruchio,119
you ;,119
should be,119
so .,118
twotwo %,118
'd with,118
and all,117
and yet,117
", they",116
% not,116
shall i,116
and in,116
that the,116
would have,116
fourthree %,115
% to,115
are you,115
we are,115
i should,115
you know,114
be so,114
. don,114
seventy-eight %,114
you do,114
him ;,113
; a,113
"master ,",112
scene three,112
", yet",111
forty-six %,111
. berowne,111
", sweet",111
shall not,110
it was,110
if it,110
. valentine,110
. proteus,110
; which,110
% here,110
"for ,",110
for your,110
which is,110
. helena,109
and he,109
eightsix %,109
fifty-five %,109
and his,109
