Word,Count
the,11304
i,10751
and,10256
to,8020
you,7171
a,6982
of,6519
dir,5197
stage,5174
my,5074
that,4781
is,4690
in,4655
not,4173
it,3611
me,3605
for,3375
your,3103
with,3070
be,3026
he,3022
but,2803
this,2719
have,2668
as,2610
his,2468
will,2334
her,2296
so,2204
him,2202
what,2069
thou,2049
one,1786
no,1709
do,1704
by,1674
if,1650
sir,1604
all,1539
she,1521
are,1508
shall,1452
we,1400
thy,1326
lord,1274
good,1273
thee,1249
on,1235
now,1158
come,1152
would,1116
here,1097
at,1097
love,1096
am,1077
o,1061
or,1053
there,1044
duke,1043
was,1042
from,1028
more,1027
how,1024
well,1011
they,998
which,979
our,971
man,964
two,945
let,926
can,900
then,888
than,857
when,836
hath,833
an,809
go,805
enter,804
know,798
say,766
them,763
were,747
like,740
king,720
may,696
make,696
why,690
upon,690
did,671
yet,659
had,656
must,653
should,649
see,643
their,633
us,621
such,620
scene,613
some,593
too,586
master,579
give,559
out,559
page,557
where,540
who,537
take,535
three,522
most,521
mine,521
these,504
think,491
clown,489
much,488
rosalind,476
ford,472
tell,468
exit,461
speak,459
father,454
never,446
claudio,446
lady,442
antonio,430
time,430
exeunt,422
very,413
nor,411
syr,404
pray,402
sweet,399
don,395
antipholus,394
gentleman,384
any,384
heart,379
dromio,379
troilus,379
look,377
up,374
fair,373
valentine,372
petruchio,371
life,367
great,367
hear,364
proteus,362
art,359
ay,359
berowne,352
doth,352
true,351
mistress,345
away,343
own,343
pandarus,341
helena,340
made,338
benedick,335
cressida,329
angelo,324
been,324
falstaff,323
four,320
belch,319
before,318
parolles,315
nothing,313
call,309
honour,308
men,307
pericles,306
thus,303
leonato,301
being,301
again,300
comes,299
though,298
other,298
hand,295
nay,294
pedro,288
speed,288
orlando,287
leave,287
old,287
eyes,286
house,285
daughter,283
imogen,280
brother,279
isabella,279
eph,278
five,277
therefore,275
name,274
ever,273
into,271
hector,271
olivia,269
portia,269
better,268
leontes,267
could,267
beatrice,264
wife,263
till,262
princess,261
viola,260
first,259
julia,258
done,256
prospero,256
day,254
both,251
world,251
poor,248
god,244
even,244
lucio,244
myself,243
word,243
death,240
none,240
achilles,239
way,239
fool,239
every,236
woman,236
fear,236
madam,235
bertram,235
servant,233
celia,233
another,232
tranio,231
queen,230
down,228
aside,228
find,227
whose,226
son,226
armado,224
sebastian,224
marry,223
night,222
heaven,221
might,221
hast,219
many,218
bring,218
still,218
malvolio,217
lafeu,213
ten,212
indeed,211
thirty,211
thersites,211
little,211
whom,211
since,210
act,209
part,207
faith,204
put,204
grace,204
keep,204
stand,203
seven,203
gone,203
maria,203
himself,202
posthumus,202
show,200
bear,200
costard,198
camillo,197
young,196
quickly,195
evans,194
thing,194
cymbeline,193
within,193
bassanio,193
eye,193
katharina,192
ulysses,192
hortensio,192
countess,190
six,189
boy,188
live,188
against,187
seventwo,186
please,186
lucentio,186
off,185
those,185
aguecheek,185
place,185
else,184
ninety,184
shylock,184
silvia,184
husband,184
hold,184
answer,184
baptista,184
cloten,184
die,184
head,182
boyet,181
best,181
provost,180
dear,179
pompey,179
ajax,178
after,178
moth,178
host,177
sixthree,177
wit,176
home,176
shallow,175
friend,175
escalus,174
nine,174
long,173
eight,173
matter,173
sixtwo,172
iachimo,172
without,172
about,169
adriana,168
john,168
twosix,168
has,167
play,167
blood,167
sixone,166
marina,165
stay,165
prince,165
rosaline,165
hero,164
seventhree,163
eightfive,163
pisanio,163
rather,163
touchstone,163
slender,163
letter,163
welcome,162
onetwo,162
hope,162
came,162
eightfour,162
eightthree,161
sixeight,160
thank,160
said,159
grumio,159
mind,158
twofour,158
threeone,157
nineseven,157
eightnine,157
face,156
enough,156
full,156
sixzero,155
youth,155
heard,154
ninethree,153
words,153
tongue,153
threefour,152
nature,152
gentle,152
peace,152
lysander,151
dead,151
threesix,151
fourone,150
fivenine,150
gremio,150
sure,149
demetrius,149
stephano,149
launce,149
shepherd,149
thought,149
agamemnon,149
once,148
hermia,148
onenine,148
set,147
ere,147
court,147
truth,147
dost,146
does,145
ninefive,144
onefour,143
fifteen,143
reason,143
paulina,143
makes,142
oneone,141
oneeight,141
jaques,141
get,141
ninesix,141
twozero,141
fivezero,140
bid,140
polixenes,140
things,140
gods,140
only,139
fortune,139
twothree,139
end,138
forth,138
sevensix,138
autolycus,138
belarius,138
guiderius,136
desire,136
bottom,136
meet,136
noble,136
hour,135
saw,135
follow,135
swear,135
sevenzero,134
caius,134
use,134
thousand,133
prove,133
maid,133
rest,133
mother,133
hither,133
fourtwo,133
strange,133
yourself,132
soul,132
mean,131
unto,131
same,131
hence,131
thine,131
music,130
fellow,130
ariel,130
turn,130
threethree,129
pardon,129
eighteight,129
diomedes,129
threefive,128
honest,128
yours,128
ring,128
fourfour,128
lie,128
lorenzo,127
eightzero,126
seventeen,126
believe,126
nineone,126
dumaine,125
sevenone,125
diana,125
fourzero,125
false,124
threeseven,124
fabian,124
threetwo,124
launcelot,124
friar,124
soldier,123
onethree,122
friends,122
æneas,122
bed,121
light,121
gratiano,121
onesix,120
shalt,120
present,119
wilt,119
twotwo,118
caliban,118
right,118
room,118
gonzalo,117
under,117
together,116
told,116
kind,116
holofernes,115
bianca,115
fourthree,115
lords,115
signior,114
farewell,113
theseus,113
help,113
beseech,113
child,113
bawd,113
biondello,111
dogberry,111
through,111
miranda,111
wrong,111
lucetta,110
arviragus,110
patroclus,110
company,110
worth,109
anne,109
eightsix,109
itself,108
break,108
lost,108
left,108
seek,107
says,107
sea,106
purpose,106
mad,106
service,105
wish,105
sister,105
paris,104
money,104
nestor,103
near,103
thurio,103
luce,103
villain,102
florizel,102
prithee,102
lay,101
simple,101
found,101
fire,101
gentlemen,101
far,101
between,101
while,101
cause,101
neither,100
fall,100
kiss,100
nerissa,100
sent,99
lose,99
gold,99
longaville,99
shame,99
ha,98
yes,98
trinculo,98
warrant,98
simonides,98
kill,98
oliver,98
hands,98
devil,97
talk,97
knight,97
means,97
hermione,97
business,97
serve,96
care,96
power,96
something,96
virtue,95
sleep,95
praise,95
return,95
helen,95
widow,95
seen,95
alas,94
knows,94
helicanus,94
beauty,94
last,94
sing,94
merry,93
spirit,92
loves,92
borachio,92
send,92
boult,92
ask,91
years,91
quince,91
wise,91
back,91
pity,91
watch,90
remember,90
ear,90
truly,90
earth,89
gave,89
save,89
half,89
born,89
lysimachus,89
rich,88
patience,88
run,88
alonso,88
because,88
worthy,88
lies,88
seem,87
thoughts,87
sake,87
sword,87
read,87
cry,86
officer,86
yea,86
less,86
cousin,86
knave,86
trust,85
further,85
women,85
hang,85
count,85
bound,84
tears,84
married,84
knew,84
thyself,84
thaisa,84
news,84
sun,83
justice,83
breath,83
state,83
body,83
brought,82
known,82
hard,81
mark,81
wonder,81
wear,81
puck,81
jessica,81
fault,81
fie,80
pretty,80
comfort,80
fit,79
note,79
joy,79
either,79
wind,79
each,79
sit,79
air,78
law,78
william,78
charge,78
looks,78
command,77
alone,77
given,77
goes,77
over,77
unless,77
mariana,76
ill,76
