N-gramm,Count
",",36845
.,20154
%,14133
the,11304
i,10751
and,10256
to,8020
;,7448
you,7171
a,6982
of,6519
dir,5197
stage,5174
my,5074
:,5054
that,4781
is,4690
in,4655
?,4541
!,4242
not,4173
it,3611
me,3605
for,3375
's,3181
your,3103
with,3070
be,3026
he,3022
'd,2836
but,2803
this,2719
have,2668
as,2610
his,2468
will,2334
her,2296
so,2204
him,2202
what,2069
thou,2049
one,1786
no,1709
do,1704
by,1674
if,1650
sir,1604
all,1539
she,1521
are,1508
shall,1452
we,1400
thy,1326
lord,1274
good,1273
thee,1249
on,1235
'll,1203
now,1158
come,1152
',1139
would,1116
at,1097
here,1097
love,1096
am,1077
o,1061
or,1053
there,1044
duke,1043
was,1042
from,1028
more,1027
how,1024
well,1011
they,998
which,979
our,971
man,964
two,945
let,926
can,900
then,888
than,857
when,836
hath,833
an,809
go,805
enter,804
know,798
say,766
them,763
were,747
like,740
king,720
make,696
may,696
why,690
upon,690
did,671
yet,659
had,656
must,653
should,649
see,643
their,633
us,621
such,620
scene,613
some,593
't,591
too,586
master,579
out,559
give,559
page,557
where,540
who,537
take,535
three,522
most,521
mine,521
these,504
think,491
clown,489
much,488
rosalind,476
ford,472
tell,468
exit,461
speak,459
father,454
claudio,446
never,446
—,446
lady,442
antonio,430
time,430
exeunt,422
very,413
nor,411
syr,404
pray,402
sweet,399
don,395
antipholus,394
any,384
gentleman,384
mrs.,383
troilus,379
heart,379
dromio,379
look,377
up,374
fair,373
valentine,372
petruchio,371
life,367
great,367
hear,364
proteus,362
ay,359
art,359
doth,352
berowne,352
true,351
mistress,345
own,343
away,343
pandarus,341
helena,340
made,338
benedick,335
cressida,329
been,324
angelo,324
falstaff,323
four,320
belch,319
before,318
parolles,315
nothing,313
call,309
honour,308
men,307
pericles,306
thus,303
being,301
leonato,301
again,300
comes,299
though,298
other,298
hand,295
nay,294
speed,288
pedro,288
old,287
leave,287
orlando,287
eyes,286
house,285
daughter,283
imogen,280
isabella,279
brother,279
eph,278
five,277
therefore,275
name,274
ever,273
hector,271
into,271
olivia,269
portia,269
better,268
leontes,267
could,267
beatrice,264
wife,263
till,262
princess,261
viola,260
first,259
julia,258
prospero,256
done,256
day,254
both,251
world,251
poor,248
lucio,244
god,244
even,244
word,243
myself,243
death,240
none,240
way,239
achilles,239
fool,239
every,236
fear,236
woman,236
madam,235
bertram,235
celia,233
servant,233
another,232
tranio,231
queen,230
aside,228
down,228
find,227
son,226
whose,226
sebastian,224
armado,224
marry,223
night,222
heaven,221
might,221
hast,219
bring,218
still,218
many,218
malvolio,217
lafeu,213
ten,212
thirty,211
indeed,211
whom,211
thersites,211
little,211
since,210
act,209
part,207
keep,204
faith,204
grace,204
put,204
seven,203
maria,203
gone,203
stand,203
posthumus,202
himself,202
show,200
bear,200
costard,198
camillo,197
young,196
quickly,195
evans,194
thing,194
within,193
bassanio,193
cymbeline,193
eye,193
ulysses,192
hortensio,192
katharina,192
countess,190
six,189
boy,188
live,188
against,187
seventwo,186
please,186
lucentio,186
aguecheek,185
off,185
those,185
place,185
husband,184
answer,184
ninety,184
shylock,184
silvia,184
cloten,184
die,184
hold,184
else,184
baptista,184
head,182
best,181
boyet,181
provost,180
pompey,179
dear,179
after,178
moth,178
ajax,178
host,177
sixthree,177
home,176
wit,176
shallow,175
friend,175
escalus,174
nine,174
eight,173
matter,173
long,173
sixtwo,172
without,172
iachimo,172
seventy-seven,172
seventy-five,172
about,169
twosix,168
adriana,168
john,168
blood,167
play,167
has,167
sixone,166
marina,165
prince,165
stay,165
rosaline,165
hero,164
seventhree,163
eightfive,163
eighty-two,163
rather,163
slender,163
touchstone,163
letter,163
pisanio,163
hope,162
eightfour,162
came,162
welcome,162
onetwo,162
eightthree,161
sixeight,160
thank,160
fifty-eight,160
said,159
grumio,159
mind,158
twofour,158
thirty-nine,157
eightnine,157
nineseven,157
threeone,157
seventy-four,156
face,156
full,156
enough,156
fifty-three,156
re-enter,155
youth,155
sixzero,155
ninety-eight,154
heard,154
words,153
sixty-five,153
tongue,153
ninethree,153
threefour,152
peace,152
nature,152
gentle,152
lysander,151
threesix,151
dead,151
'tis,151
ninety-two,151
fourone,150
gremio,150
fivenine,150
stephano,149
launce,149
thought,149
demetrius,149
agamemnon,149
sure,149
shepherd,149
once,148
hermia,148
onenine,148
truth,147
ere,147
court,147
set,147
twenty-nine,147
dost,146
twenty-eight,145
eighty-one,145
does,145
...,144
ninefive,144
twenty-five,144
fifty-four,143
reason,143
onefour,143
paulina,143
fifteen,143
makes,142
forty-nine,141
jaques,141
oneone,141
oneeight,141
twozero,141
get,141
ninesix,141
sixty-nine,140
things,140
fivezero,140
gods,140
bid,140
polixenes,140
twothree,139
fortune,139
only,139
end,138
autolycus,138
sevensix,138
forty-eight,138
sixty-four,138
forth,138
belarius,138
twenty-one,137
bottom,136
desire,136
guiderius,136
sixty-seven,136
noble,136
meet,136
thirty-eight,136
saw,135
swear,135
hour,135
seventy-nine,135
follow,135
fifty-six,135
use,134
sevenzero,134
caius,134
rest,133
maid,133
fourtwo,133
hither,133
thousand,133
prove,133
strange,133
mother,133
ninety-four,132
soul,132
yourself,132
same,131
hence,131
fifty-one,131
unto,131
thine,131
mean,131
fifty-two,131
turn,130
music,130
ariel,130
fellow,130
threethree,129
eighteight,129
diomedes,129
pardon,129
yours,128
threefive,128
lie,128
fourfour,128
honest,128
ring,128
sixty-six,127
lorenzo,127
nineone,126
believe,126
seventeen,126
eightzero,126
forty-five,126
diana,125
sevenone,125
fourzero,125
dumaine,125
threeseven,124
false,124
launcelot,124
friar,124
threetwo,124
fabian,124
eighty-seven,123
twenty-seven,123
forty-seven,123
soldier,123
friends,122
onethree,122
æneas,122
gratiano,121
bed,121
light,121
onesix,120
shalt,120
fifty-seven,119
wilt,119
present,119
room,118
twotwo,118
caliban,118
right,118
under,117
gonzalo,117
told,116
kind,116
together,116
bianca,115
fourthree,115
lords,115
holofernes,115
to-morrow,115
seventy-eight,114
signior,114
help,113
child,113
farewell,113
beseech,113
theseus,113
bawd,113
dogberry,111
miranda,111
wrong,111
through,111
forty-six,111
biondello,111
arviragus,110
company,110
lucetta,110
patroclus,110
worth,109
fifty-five,109
anne,109
eightsix,109
lost,108
break,108
itself,108
n't,108
left,108
says,107
seek,107
purpose,106
sea,106
mad,106
service,105
sister,105
wish,105
paris,104
money,104
luce,103
thurio,103
nestor,103
near,103
florizel,102
villain,102
prithee,102
far,101
lay,101
between,101
found,101
while,101
cause,101
gentlemen,101
fire,101
simple,101
nerissa,100
fall,100
neither,100
kiss,100
shame,99
lose,99
longaville,99
sent,99
gold,99
ha,98
simonides,98
warrant,98
oliver,98
kill,98
hands,98
yes,98
trinculo,98
knight,97
means,97
talk,97
devil,97
business,97
hermione,97
care,96
power,96
something,96
serve,96
praise,95
helen,95
return,95
sleep,95
virtue,95
widow,95
seen,95
alas,94
sing,94
helicanus,94
knows,94
last,94
beauty,94
merry,93
loves,92
borachio,92
send,92
boult,92
spirit,92
ask,91
quince,91
wise,91
years,91
pity,91
back,91
truly,90
ear,90
ninety-nine,90
watch,90
remember,90
lysimachus,89
save,89
half,89
born,89
earth,89
gave,89
lies,88
rich,88
run,88
ne'er,88
alonso,88
patience,88
because,88
worthy,88
thoughts,87
sword,87
sake,87
read,87
seem,87
cousin,86
yea,86
cry,86
officer,86
knave,86
less,86
count,85
hang,85
trust,85
women,85
further,85
married,84
thyself,84
thaisa,84
tears,84
news,84
knew,84
bound,84
breath,83
sun,83
body,83
justice,83
state,83
known,82
o'er,82
brought,82
mark,81
